Title,Author,Filename,Start Key,End Key,Category,Bumper Sticker,Original Language,Country,Year,Year Val,Wiki Link,Wiki Text,Paragraphs
The Prophet,"Gibran, Khalil",gibran_prophet.txt,THE BOOKS OF KAHLIL GIBRAN,[Illustration: 0134],Mysticism,The human condition is linked to union with the infinite,English,United States,1923,1923,https://en.wikipedia.org/wiki/The_Prophet_(book),"The Prophet is a book of 26 prose poetry fables written in English by the Lebanese-American poet and writer Kahlil Gibran.[1] It was originally published in 1923 by Alfred A. Knopf. It is Gibran's best known work. The Prophet has been translated into over 108 different languages, making it one of the most translated books in history,[2] and it has never been out of print.[3]",461
The Road to Serfdom,"Hayek, Friedrich",hayek_serfdom_eda.txt,"(condensed version, published in the Reader's Digest, ","The Institute is a research and educational charity (No. CC 235 351), limited ",Classical Liberalism,Government control of economic decision-making inevitably results in tyranny,English,United Kingdom,1944,1944,https://en.wikipedia.org/wiki/The_Road_to_Serfdom,"The Road to Serfdom (German: Der Weg zur Knechtschaft) is a book written between 1940 and 1943 by Austrian British economist and philosopher Friedrich Hayek, in which the author ""[warns] of the danger of tyranny that inevitably results from government control of economic decision-making through central planning.""[1] He further argues that the abandonment of individualism and classical liberalism inevitably leads to a loss of freedom, the creation of an oppressive society, the tyranny of a dictator, and the serfdom of the individual. Hayek challenged the general view among British academics that fascism (including National Socialism) was a capitalist reaction against socialism. He argued that fascism, National Socialism and socialism had common roots in central economic planning and empowering the state over the individual.

Since its publication in 1944, The Road to Serfdom has been an influential and popular exposition of market libertarianism. It has sold over two million copies.[2][3]

The Road to Serfdom was to be the popular edition of the second volume of Hayek's treatise entitled ""The Abuse and Decline of Reason"",[4] and the title was inspired by the writings of the 19th century French classical liberal thinker Alexis de Tocqueville on the ""road to servitude"".[5] The book was first published in Britain by Routledge in March 1944, during World War II, and was quite popular, leading Hayek to call it ""that unobtainable book"", also due in part to wartime paper rationing.[6] It was published in the United States by the University of Chicago Press in September 1944 and achieved great popularity. At the arrangement of editor Max Eastman, the American magazine Reader's Digest published an abridged version in April 1945, enabling The Road to Serfdom to reach a wider popular audience beyond academics.

The Road to Serfdom has had a significant impact on twentieth-century conservative and libertarian economic and political discourse, and is often cited today by commentators.",215
Leviathan,"Hobbes, Thomas",hobbes_leviathan.txt,"LEVIATHAN OR THE MATTER, FORME, & POWER OF A COMMON-WEALTH","End of the Project Gutenberg EBook of Leviathan, by Thomas Hobbes",Political Philosophy,"Only strong unified government can save from ""the war of all against all""",English,England,1651,1651,https://en.wikipedia.org/wiki/Leviathan_(Hobbes_book),"Leviathan or The Matter, Forme and Power of a Common-Wealth Ecclesiasticall and Civil—commonly referred to as Leviathan—is a book written by Thomas Hobbes (1588–1679) and published in 1651 (revised Latin edition 1668).[1][3][4] Its name derives from the biblical Leviathan. The work concerns the structure of society and legitimate government, and is regarded as one of the earliest and most influential examples of social contract theory.[5] Leviathan ranks as a classic Western work on statecraft comparable to Machiavelli's The Prince. Written during the English Civil War (1642–1651), Leviathan argues for a social contract and rule by an absolute sovereign. Hobbes wrote that civil war and the brute situation of a state of nature (""the war of all against all"") could only be avoided by strong, undivided government.",1257
An Enquiry Concerning the Principles of Morals,"Hume, David",hume_enquiry.txt,AN ENQUIRY CONCERNING THE PRINCIPLES OF MORALS,End of the Project Gutenberg EBook of An Enquiry Concerning the Principles,Naturalism,"There is nothing but natural elements, principles, and relations",English,Scotland,1751,1751,https://en.wikipedia.org/wiki/An_Enquiry_Concerning_the_Principles_of_Morals,"An Enquiry Concerning the Principles of Morals (EPM) is a book by Scottish enlightenment philosopher David Hume. In it, Hume argues (among other things) that the foundations of morals lie with sentiment, not reason.

An Enquiry Concerning the Principles of Morals is the enquiry subsequent to the Enquiry Concerning Human Understanding (EHU). Thus, it is often referred to as ""the second Enquiry"". It was originally published in 1751, three years after the first Enquiry.[1] Hume first discusses ethics in A Treatise of Human Nature (in Book 3 - ""Of Morals""). He later extracted and expounded upon the ideas he proposed there in his second Enquiry. In his short autobiographical work, My Own Life (1776), Hume states that his second Enquiry is ""of all my writings, historical, philosophical, or literary, incomparably the best.""",355
Essays in Radical Empiricism,"James, William",james_essays.txt,DOES 'CONSCIOUSNESS' EXIST?[2],***END OF THE PROJECT GUTENBERG EBOOK ESSAYS IN RADICAL EMPIRICISM***,Pragmatism,The practical effects of ideas are the whole of ideas,English,United States,1906,1906,https://en.wikipedia.org/wiki/Essays_in_Radical_Empiricism,"Essays in Radical Empiricism (ERE) by William James is a collection edited and published posthumously by his colleague and biographer Ralph Barton Perry in 1912. It was assembled from ten out of a collection of twelve reprinted journal articles published from 1904–1905 which James had deposited in August, 1906, at the Harvard University Library and the Harvard Department of Philosophy for supplemental use by his students. Perry replaced two essays from the original list with two others, one of which didn't exist at the earlier time.

Because ERE is a collection of essays written over a period of time, and ultimately not selected or collated by their author, it is not a systematic exposition of his thought[1] even though Perry suggests otherwise in his preface. This circumstance, in addition to the evolution of James own philosophic stance, has contributed to a wide variance in understanding, misunderstanding, and critical opinion of radical empiricism.",397
The Critique of Pure Reason,"Kant, Immanuel",kant_critique.txt, THE CRITIQUE OF PURE REASON,"End of the Project Gutenberg EBook of The Critique of Pure Reason, by Immanuel Kant",Transcendental Idealism,"The basis of ""a priori"" knowledge is both analytic and synthetic",German,Germany,1781,1781,https://en.wikipedia.org/wiki/Critique_of_Pure_Reason,"The Critique of Pure Reason (Kritik der reinen Vernunft) is a 1781 book by the German philosopher Immanuel Kant, in which the author seeks to determine the limits and scope of metaphysics. A heavily-revised second edition was published in 1787. Also referred to as Kant's ""First Critique"", it was followed by the Critique of Practical Reason (1788) and the Critique of Judgment (1790). In the preface to the first edition, Kant explains that by a ""critique of pure reason"" he means not ""a critique of books and systems, but of the faculty of reason in general, in respect of all knowledge after which it may strive independently of all experience"" and that he aims to reach a decision about ""the possibility or impossibility of metaphysics"". The First Critique is often viewed as culminating several centuries of early-modern philosophy, and inaugurating modern philosophy.

Kant builds on the work of empiricist philosophers such as John Locke and David Hume, as well as rationalists such as Gottfried Wilhelm Leibniz and Christian Wolff. He expounds new ideas on the nature of space and time, and tries to provide solutions to Hume's scepticism regarding human knowledge of the relation of cause and effect, and René Descartes' scepticism regarding knowledge of the external world. This is argued through the transcendental idealism of objects (as appearance) and their form of appearance. Kant regards the former ""as mere representations and not as things in themselves"", and the latter as ""only sensible forms of our intuition, but not determinations given for themselves or conditions of objects as things in themselves"". This grants the possibility of a priori knowledge, since objects as appearance ""must conform to our cognition . . . which is to establish something about objects before they are given to us"". Knowledge independent of experience Kant calls ""a priori"" knowledge, while knowledge obtained through experience is termed ""a posteriori"".[2] According to Kant, a proposition is a priori if it is necessary and universal. A proposition is necessary if it could not possibly be false, and so cannot be denied without contradiction. A proposition is universal if it is true in all cases, and so does not admit of any exceptions. Knowledge gained a posteriori through the senses, Kant argues, never imparts absolute necessity and universality, because it is always possible that we might encounter an exception.[3]

Kant claims to have discovered another attribute of propositions: the distinction between ""analytic"" and ""synthetic"" judgments.[4] According to Kant, a proposition is analytic if the content of the predicate-concept of the proposition is already contained within the subject-concept of that proposition.[5] For example, Kant considers the proposition ""All bodies are extended"" analytic, since the predicate-concept ('extended') is already contained within—or ""thought in""—the subject-concept of the sentence ('body'). The distinctive character of analytic judgements was therefore that they can be known to be true simply by an analysis of the concepts contained in them; they are true by definition. In synthetic propositions, on the other hand, the predicate-concept is not already contained within the subject-concept. For example, Kant considers the proposition ""All bodies are heavy"" synthetic, since the concept 'body' does not already contain within it the concept 'weight'.[6] Synthetic judgments therefore add something to a concept, whereas analytic judgments only explain what is already contained in the concept.

Prior to Kant, it was thought that all a priori knowledge must be analytic. Kant, however, argues that our knowledge of mathematics, of the first principles of natural science, and of metaphysics, is both a priori and synthetic. The peculiar nature of this knowledge, Kant argues, cries out for explanation. The central problem of the Critique is therefore to answer the question: ""How are synthetic a priori judgements possible?""[7] It is a ""matter of life and death"" to metaphysics and to human reason, Kant argues, that the grounds of this kind of knowledge be explained.[7]

Though it received little attention when it was first published, the Critique later attracted attacks from both empiricist and rationalist critics, and became a source of controversy. It has exerted an enduring influence on Western philosophy, and helped to bring about the development of German idealism.",1143
"The General Theory of Employment, Interest, and Money","Keynes, John Maynard",keynes_generaltheory.txt,"by Keynes's original printers, but irritating to a modern eye. ",PRINTING ERRORS IN THE FIRST EDITION CORRECTED ,Keynesianism,"Markets are naturally volatile, and governments should increase demand through spending to relieve unemployment",English,United Kingdom,1936,1936,"https://en.wikipedia.org/wiki/The_General_Theory_of_Employment,_Interest_and_Money","The General Theory of Employment, Interest and Money of 1936 is the last and most important book by the English economist John Maynard Keynes. It created a profound shift in economic thought, giving macroeconomics a central place in economic theory and contributing much of its terminology[1] – the ""Keynesian Revolution"". It had equally powerful consequences in economic policy, being interpreted as providing theoretical support for government spending in general, and for budgetary deficits, monetary intervention and counter-cyclical policies in particular. It is pervaded with an air of mistrust for the rationality of free-market decision making.

Keynes denied that an economy would automatically adapt to provide full employment even in equilibrium, and believed that the volatile and ungovernable psychology of markets would lead to periodic booms and crises. The General Theory is a sustained attack on the 'classical' orthodoxy of its time. It introduced the concepts of the consumption function, the principle of effective demand and liquidity preference, and gave new prominence to the multiplier and the marginal efficiency of capital.",545
The Rubaiyat,"Khyyam, Omar",khyyam_rubaiyat.txt,by Omar Khyyam,***END***,Agnosticism,"Philosophy fails to satisfy, so drink joyously from the cup of life",Farsi,Persia,1120,1120,https://en.wikipedia.org/wiki/Rubaiyat_of_Omar_Khayyam,"Rubáiyát of Omar Khayyám is the title that Edward FitzGerald gave to his 1859 translation from Persian to English of a selection of quatrains (rubāʿiyāt) attributed to Omar Khayyam (1048–1131), dubbed ""the Astronomer-Poet of Persia.""

FitzGerald's work at first was unsuccessful commercially. But it was popularised from 1861 onward by Whitley Stokes, and the work came to be greatly admired by the Pre-Raphaelites in England. In 1872 FitzGerald had a third edition printed, which increased interest in the work in the United States of America. By the 1880s, the book was extremely well known throughout the English-speaking world, to the extent that numerous ""Omar Khayyam Clubs"" were formed and there was a ""fin de siècle cult of the Rubaiyat"".[1] FitzGerald's work has been published in several hundred editions, and it has inspired similar translation efforts in English and in many other languages.",100
Tao Te Ching,Lao Tzu,laotzu_tao.txt,THE TAO AND ITS CHARACTERISTICS,"End of the Project Gutenberg EBook of Tao Teh King, by Lao-Tze",Taoism,"Living in harmony with ""the way""",Chinese,China,~550 BC,-550,https://en.wikipedia.org/wiki/Tao_Te_Ching,"The Tao Te Ching ([tâu tɤ̌ tɕíŋ] (About this soundlisten)), also known by its pinyin romanization Daode Jing,[a] is a Chinese classic text traditionally credited to the 6th-century BC sage Laozi. The text's authorship, date of composition and date of compilation are debated.[5] The oldest excavated portion dates back to the late 4th century BC,[6] but modern scholarship dates other parts of the text as having been written—or at least compiled—later than the earliest portions of the Zhuangzi.[7]

The Tao Te Ching, along with the Zhuangzi, is a fundamental text for both philosophical and religious Taoism. It also strongly influenced other schools of Chinese philosophy and religion, including Legalism, Confucianism, and Buddhism, which was largely interpreted through the use of Taoist words and concepts when it was originally introduced to China. Many Chinese artists, including poets, painters, calligraphers, and gardeners, have used the Tao Te Ching as a source of inspiration. Its influence has spread widely outside East Asia and it is among the most translated works in world literature.[6]",193
A Letter Concerning Toleration,"Locke, John",locke_toleration.txt,A LETTER CONCERNING TOLERATION,THE END,Empiricism,The problem of religion overtaking government can be addressed with religious toleration,Latin,England,1689,1689,https://en.wikipedia.org/wiki/A_Letter_Concerning_Toleration,"A Letter Concerning Toleration by John Locke was originally published in 1689. Its initial publication was in Latin, though it was immediately translated into other languages. Locke's work appeared amidst a fear that Catholicism might be taking over England, and responds to the problem of religion and government by proposing religious toleration as the answer. This ""letter"" is addressed to an anonymous ""Honored Sir"": this was actually Locke's close friend Philipp van Limborch, who published it without Locke's knowledge.[1]",61
An Essay Concerning Human Understanding,"Locke, John",locke_understanding.txt,AN ESSAY CONCERNING HUMAN UNDERSTANDING,THE END,Empiricism,"All knowledge comes from and is limited by experience, and the mind starts as a blank slate",English,England,1690,1690,https://en.wikipedia.org/wiki/An_Essay_Concerning_Human_Understanding,"An Essay Concerning Human Understanding is a work by John Locke concerning the foundation of human knowledge and understanding. It first appeared in 1689 (although dated 1690) with the printed title An Essay Concerning Humane Understanding. He describes the mind at birth as a blank slate (tabula rasa, although he did not use those actual words) filled later through experience. The essay was one of the principal sources of empiricism in modern philosophy, and influenced many enlightenment philosophers, such as David Hume and George Berkeley.

Book I of the Essay is Locke's attempt to refute the rationalist notion of innate ideas. Book II sets out Locke's theory of ideas, including his distinction between passively acquired simple ideas, such as ""red,"" ""sweet,"" ""round,"" etc., and actively built complex ideas, such as numbers, causes and effects, abstract ideas, ideas of substances, identity, and diversity. Locke also distinguishes between the truly existing primary qualities of bodies, like shape, motion and the arrangement of minute particles, and the secondary qualities that are ""powers to produce various sensations in us""[1] such as ""red"" and ""sweet."" These secondary qualities, Locke claims, are dependent on the primary qualities. He also offers a theory of personal identity, offering a largely psychological criterion. Book III is concerned with language, and Book IV with knowledge, including intuition, mathematics, moral philosophy, natural philosophy (""science""), faith, and opinion.",871
The Prince,"Machiavelli, Nicolo",machiavelli_prince.txt,"CHAPTER I -- HOW MANY KINDS OF PRINCIPALITIES THERE ARE, AND BY WHAT","End of the Project Gutenberg EBook of The Prince, by Nicolo Machiavelli",Political Philosophy,Political power by any means necessary,Italian,Italy,1532,1532,https://en.wikipedia.org/wiki/The_Prince,"The Prince (Italian: Il Principe [il ˈprintʃipe]) is a 16th-century political treatise by the Italian diplomat and political theorist Niccolò Machiavelli. From correspondence a version appears to have been distributed in 1513, using a Latin title, De Principatibus (Of Principalities).[1] However, the printed version was not published until 1532, five years after Machiavelli's death. This was done with the permission of the Medici pope Clement VII, but ""long before then, in fact since the first appearance of The Prince in manuscript, controversy had swirled about his writings"".[2]

Although it was written as if it were a traditional work in the mirrors for princes style, it is generally agreed that it was especially innovative. This is only partly because it was written in the vernacular Italian rather than Latin, a practice which had become increasingly popular since the publication of Dante's Divine Comedy and other works of Renaissance literature.[3][4]

The Prince is sometimes claimed to be one of the first works of modern philosophy, especially modern political philosophy, in which the effective truth is taken to be more important than any abstract ideal. It was also in direct conflict with the dominant Catholic and scholastic doctrines of the time concerning politics and ethics.[5][6]

Although it is relatively short, the treatise is the most remembered of Machiavelli's works and the one most responsible for bringing the word ""Machiavellian"" into usage as a pejorative. It even contributed to the modern negative connotations of the words ""politics"" and ""politician"" in western countries.[7] In terms of subject matter it overlaps with the much longer Discourses on Livy, which was written a few years later. In its use of near-contemporary Italians as examples of people who perpetrated criminal deeds for politics, another lesser-known work by Machiavelli which The Prince has been compared to is the Life of Castruccio Castracani.

The descriptions within The Prince have the general theme of accepting that the aims of princes – such as glory and survival – can justify the use of immoral means to achieve those ends:[8]

He who neglects what is done for what ought to be done, sooner effects his ruin than his preservation.[9]",260
